,Geography,Year,Sex,Activity Category,Prevalence_x,Coefficient of Variation_x,CV Flag_x,Standard Error_x,Standard Score_x,Alberta Prevalence_x,Category,Prevalence_y,Coefficient of Variation_y,CV Flag_y,Standard Error_y,Standard Score_y,Alberta Prevalence_y,Stress Category,Prevalence,Coefficient of Variation,CV Flag,Standard Error,Standard Score,Alberta Prevalence
58,Z1,2007,FEMALE,Active or moderately active,51.1818,5.842500000000001,1.0,2.7755,-1.453424953,55.21575586500001,Poor Fair or Good,30.0288,8.863700000000003,1.0,2.5723,2.2907084744999997,24.136443775,Extremely/quite a bit stressful,21.9218,12.380999999999998,1.0,2.7095,-0.535254711,23.372070627
59,Z1,2007,FEMALE,Active or moderately active,51.1818,5.842500000000001,1.0,2.7755,-1.453424953,55.21575586500001,Poor Fair or Good,30.0288,8.863700000000003,1.0,2.5723,2.2907084744999997,24.136443775,Not at all/not very/a bit stressful,78.0782,4.4113000000000016,1.0,2.7095,0.5352547108,76.62792937300001
60,Z1,2007,FEMALE,Inactive,48.8182,5.9093,1.0,2.7755,1.4534249525999998,44.784244135,Excellent or Very Good,69.97120000000001,4.0805,1.0,2.5723,-2.290708475,75.863556225,Extremely/quite a bit stressful,21.9218,12.380999999999998,1.0,2.7095,-0.535254711,23.372070627
61,Z1,2007,FEMALE,Inactive,48.8182,5.9093,1.0,2.7755,1.4534249525999998,44.784244135,Excellent or Very Good,69.97120000000001,4.0805,1.0,2.5723,-2.290708475,75.863556225,Not at all/not very/a bit stressful,78.0782,4.4113000000000016,1.0,2.7095,0.5352547108,76.62792937300001
62,Z1,2007,FEMALE,Inactive,48.8182,5.9093,1.0,2.7755,1.4534249525999998,44.784244135,Poor Fair or Good,30.0288,8.863700000000003,1.0,2.5723,2.2907084744999997,24.136443775,Extremely/quite a bit stressful,21.9218,12.380999999999998,1.0,2.7095,-0.535254711,23.372070627
63,Z1,2007,FEMALE,Inactive,48.8182,5.9093,1.0,2.7755,1.4534249525999998,44.784244135,Poor Fair or Good,30.0288,8.863700000000003,1.0,2.5723,2.2907084744999997,24.136443775,Not at all/not very/a bit stressful,78.0782,4.4113000000000016,1.0,2.7095,0.5352547108,76.62792937300001
64,Z1,2007,MALE,Active or moderately active,53.5897,6.9126,1.0,3.7174,-0.392361137,55.048274846999995,Excellent or Very Good,74.0933,4.851300000000001,1.0,2.8533000000000004,-0.803205446,76.385035708,Extremely/quite a bit stressful,19.8337,12.5817,1.0,2.5324,-0.6881281570000001,21.576313517
65,Z1,2007,MALE,Active or moderately active,53.5897,6.9126,1.0,3.7174,-0.392361137,55.048274846999995,Excellent or Very Good,74.0933,4.851300000000001,1.0,2.8533000000000004,-0.803205446,76.385035708,Not at all/not very/a bit stressful,80.1663,4.495900000000002,1.0,2.5324,0.6881281571000001,78.42368648300001
66,Z1,2007,MALE,Active or moderately active,53.5897,6.9126,1.0,3.7174,-0.392361137,55.048274846999995,Poor Fair or Good,25.9067,10.9491,1.0,2.8533000000000004,0.8032054462,23.614964292,Extremely/quite a bit stressful,19.8337,12.5817,1.0,2.5324,-0.6881281570000001,21.576313517
67,Z1,2007,MALE,Active or moderately active,53.5897,6.9126,1.0,3.7174,-0.392361137,55.048274846999995,Poor Fair or Good,25.9067,10.9491,1.0,2.8533000000000004,0.8032054462,23.614964292,Not at all/not very/a bit stressful,80.1663,4.495900000000002,1.0,2.5324,0.6881281571000001,78.42368648300001
68,Z1,2007,MALE,Inactive,46.41030000000001,8.848500000000003,1.0,3.7174,0.3923611367000001,44.95172515300001,Excellent or Very Good,74.0933,4.851300000000001,1.0,2.8533000000000004,-0.803205446,76.385035708,Extremely/quite a bit stressful,19.8337,12.5817,1.0,2.5324,-0.6881281570000001,21.576313517
69,Z1,2007,MALE,Inactive,46.41030000000001,8.848500000000003,1.0,3.7174,0.3923611367000001,44.95172515300001,Excellent or Very Good,74.0933,4.851300000000001,1.0,2.8533000000000004,-0.803205446,76.385035708,Not at all/not very/a bit stressful,80.1663,4.495900000000002,1.0,2.5324,0.6881281571000001,78.42368648300001
70,Z1,2007,MALE,Inactive,46.41030000000001,8.848500000000003,1.0,3.7174,0.3923611367000001,44.95172515300001,Poor Fair or Good,25.9067,10.9491,1.0,2.8533000000000004,0.8032054462,23.614964292,Extremely/quite a bit stressful,19.8337,12.5817,1.0,2.5324,-0.6881281570000001,21.576313517
71,Z1,2007,MALE,Inactive,46.41030000000001,8.848500000000003,1.0,3.7174,0.3923611367000001,44.95172515300001,Poor Fair or Good,25.9067,10.9491,1.0,2.8533000000000004,0.8032054462,23.614964292,Not at all/not very/a bit stressful,80.1663,4.495900000000002,1.0,2.5324,0.6881281571000001,78.42368648300001
72,Z1,2008,BOTH,Active or moderately active,51.7999,5.0153,1.0,2.4459999999999997,-0.703629539,53.52093991899999,Excellent or Very Good,73.2848,2.8653000000000004,1.0,1.7408,-0.068011285,73.40321767200001,Extremely/quite a bit stressful,20.474200000000003,8.766200000000001,1.0,1.7647000000000002,-0.957246437,22.163359798000002
73,Z1,2008,BOTH,Active or moderately active,51.7999,5.0153,1.0,2.4459999999999997,-0.703629539,53.52093991899999,Excellent or Very Good,73.2848,2.8653000000000004,1.0,1.7408,-0.068011285,73.40321767200001,Not at all/not very/a bit stressful,79.5258,2.6645000000000003,1.0,1.7647000000000002,0.957246437,77.83664020200001
74,Z1,2008,BOTH,Active or moderately active,51.7999,5.0153,1.0,2.4459999999999997,-0.703629539,53.52093991899999,Poor Fair or Good,26.715200000000006,6.7163,1.0,1.7408,0.0680112847,26.596782328000003,Extremely/quite a bit stressful,20.474200000000003,8.766200000000001,1.0,1.7647000000000002,-0.957246437,22.163359798000002
75,Z1,2008,BOTH,Active or moderately active,51.7999,5.0153,1.0,2.4459999999999997,-0.703629539,53.52093991899999,Poor Fair or Good,26.715200000000006,6.7163,1.0,1.7408,0.0680112847,26.596782328000003,Not at all/not very/a bit stressful,79.5258,2.6645000000000003,1.0,1.7647000000000002,0.957246437,77.83664020200001
76,Z1,2008,BOTH,Inactive,48.200100000000006,5.297999999999999,1.0,2.4459999999999997,0.7036295386000001,46.47906008100001,Excellent or Very Good,73.2848,2.8653000000000004,1.0,1.7408,-0.068011285,73.40321767200001,Extremely/quite a bit stressful,20.474200000000003,8.766200000000001,1.0,1.7647000000000002,-0.957246437,22.163359798000002
77,Z1,2008,BOTH,Inactive,48.200100000000006,5.297999999999999,1.0,2.4459999999999997,0.7036295386000001,46.47906008100001,Excellent or Very Good,73.2848,2.8653000000000004,1.0,1.7408,-0.068011285,73.40321767200001,Not at all/not very/a bit stressful,79.5258,2.6645000000000003,1.0,1.7647000000000002,0.957246437,77.83664020200001
78,Z1,2008,BOTH,Inactive,48.200100000000006,5.297999999999999,1.0,2.4459999999999997,0.7036295386000001,46.47906008100001,Poor Fair or Good,26.715200000000006,6.7163,1.0,1.7408,0.0680112847,26.596782328000003,Extremely/quite a bit stressful,20.474200000000003,8.766200000000001,1.0,1.7647000000000002,-0.957246437,22.163359798000002
79,Z1,2008,BOTH,Inactive,48.200100000000006,5.297999999999999,1.0,2.4459999999999997,0.7036295386000001,46.47906008100001,Poor Fair or Good,26.715200000000006,6.7163,1.0,1.7408,0.0680112847,26.596782328000003,Not at all/not very/a bit stressful,79.5258,2.6645000000000003,1.0,1.7647000000000002,0.957246437,77.83664020200001
