REF_DATE,GEO,Age group,Sex,UOM,"Body mass index, adjusted self-reported, adult (18 years and over), obese","Body mass index, adjusted self-reported, adult (18 years and over), overweight","Body mass index, self-reported, youth (12 to 17 years old), overweight or obese","Current smoker, daily or occasional","Fruit and vegetable consumption, 5 times or more per day","Life satisfaction, satisfied or very satisfied",Mood disorder,"Perceived health, very good or excellent","Perceived life stress, most days quite a bit or extremely stressful","Perceived mental health, very good or excellent","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","Self-reported physical activity, average 60 minutes per day, youth (12 to 17 years old)","Sense of belonging to local community, somewhat strong or very strong"
2015/2016,"Total, large urban population centres","Total, 12 years and over",Both sexes,Number,2835099.75,4372425.0,193474.75,2255574.75,4119375.0,12719125.0,1121224.75,8856550.25,3131375.25,9905025.0,7592900.25,513050.0,9052849.75
2015/2016,"Total, large urban population centres","Total, 12 years and over",Females,Number,1318524.75,1847899.75,80750.0,944349.75,2544475.0,6502250.0,718649.75,4433325.25,1716250.25,4909450.0,3677625.25,214000.0,4692274.75
2015/2016,"Total, large urban population centres","Total, 12 years and over",Males,Number,1518624.75,2522425.0,112899.75,1312974.75,1576550.0,6214525.0,404200.0,4424900.25,1417125.25,4994075.25,3914400.0,298925.0,4362749.75
2015/2016,"Total, medium population centres","Total, 12 years and over",Both sexes,Number,529675.25,615750.0,34600.0,400375.25,559200.0,1764099.75,212150.25,1165074.75,427575.0,1333999.75,1011624.75,75325.0,1310375.0
2015/2016,"Total, medium population centres","Total, 12 years and over",Females,Number,254975.25,267650.0,12875.0,179025.25,354900.0,888574.75,139075.25,572174.75,242675.0,664199.75,460499.75,28300.0,672875.0
2015/2016,"Total, medium population centres","Total, 12 years and over",Males,Number,275325.25,349525.0,21975.0,221725.25,205000.0,877025.0,73100.25,593599.75,185250.0,671924.75,549575.0,47550.0,637125.0
2015/2016,"Total, rural areas","Total, 12 years and over",Both sexes,Number,1081350.25,1274775.25,74325.0,757500.25,1165575.0,3606100.25,300049.75,2442275.0,796599.75,2799425.0,2009374.75,168025.0,2744000.25
2015/2016,"Total, rural areas","Total, 12 years and over",Females,Number,497575.25,548200.25,27925.0,337875.25,726400.0,1804750.25,196575.0,1233200.25,430374.75,1384350.25,911999.75,72550.0,1371500.25
2015/2016,"Total, rural areas","Total, 12 years and over",Males,Number,581850.25,726725.0,46450.0,418700.0,437975.0,1802500.25,103549.75,1207424.75,364774.75,1413100.0,1096125.0,95175.0,1370675.25
2015/2016,"Total, small population centres","Total, 12 years and over",Both sexes,Number,790750.25,844600.0,48325.0,554200.25,783875.0,2462225.0,239050.0,1620399.75,549699.75,1894000.0,1428450.0,116700.25,1933000.25
2015/2016,"Total, small population centres","Total, 12 years and over",Females,Number,374675.25,377725.0,20325.0,256925.25,488625.0,1246775.0,153000.0,812249.75,295799.75,935375.0,668600.0,55175.25,986300.25
2015/2016,"Total, small population centres","Total, 12 years and over",Males,Number,415675.25,467374.75,28100.0,297375.25,296125.0,1214500.0,85850.0,807899.75,253550.0,957575.0,757875.0,61475.0,946650.25
2015/2016,"Trois-Rivières, Quebec","Total, 12 years and over",Both sexes,Number,18560.0,24700.0,1600.0,12720.0,28360.2,70460.4,4300.0,46580.0,15560.0,56260.2,34419.6,2080.0,47600.2
2015/2016,"Vancouver, British Columbia","Total, 12 years and over",Both sexes,Number,197039.6,399440.0,18320.0,163239.6,364500.0,1181160.0,117540.0,792600.0,266500.0,885959.8,783040.2,48880.0,882600.0
2015/2016,"Vancouver, British Columbia","Total, 12 years and over",Females,Number,87379.6,158979.8,5280.0,60479.6,225560.0,606880.0,76480.0,396360.0,142800.0,441819.8,384160.2,21220.0,456560.0
2015/2016,"Vancouver, British Columbia","Total, 12 years and over",Males,Number,108959.6,240200.0,12920.0,102259.8,138860.0,574280.0,40920.0,396300.0,123380.0,444919.8,398480.2,27560.0,425980.0
2015/2016,"Victoria, British Columbia","Total, 12 years and over",Both sexes,Number,35239.8,65060.0,1179.6,28100.0,66680.4,175420.2,20220.2,119660.0,34279.8,137880.2,120960.2,7980.4,132580.0
2015/2016,"Victoria, British Columbia","Total, 12 years and over",Males,Number,20540.0,36380.0,0.0,15660.0,27000.4,86160.4,6200.0,56020.0,13279.8,70560.4,64440.4,4220.2,62200.0
2015/2016,"Windsor, Ontario","Total, 12 years and over",Both sexes,Number,52940.4,47760.0,3680.0,31880.0,42119.8,154880.0,15040.0,107540.0,33520.0,126920.0,84540.0,7240.0,124820.2
2015/2016,"Windsor, Ontario","Total, 12 years and over",Females,Number,21800.0,23380.0,2500.4,15700.0,26659.8,80380.0,10620.0,54180.0,22040.0,61400.0,38800.0,2960.0,64920.0
2015/2016,"Winnipeg, Manitoba","Total, 12 years and over",Both sexes,Number,95699.8,120780.0,8040.0,78180.0,102739.8,370160.0,36420.0,254840.0,87100.0,281520.0,207400.0,17220.0,272100.0
2015/2016,"Winnipeg, Manitoba","Total, 12 years and over",Females,Number,43920.0,46259.8,3100.0,34900.0,66560.0,184140.0,24260.0,128940.0,46480.0,135860.0,97560.0,7140.0,134660.0
2015/2016,"Winnipeg, Manitoba","Total, 12 years and over",Males,Number,51260.0,74600.0,4900.0,43760.0,36619.8,185840.0,12180.0,126040.0,40460.0,145500.0,110220.0,10040.0,137400.0
2015/2016,Yukon,"Total, 12 years and over",Both sexes,Number,7150.25,6825.0,300.0,5875.25,6325.0,21725.0,2300.0,14275.0,4525.0,15925.0,14775.25,1000.0,18925.25
2015/2016,Yukon,"Total, 12 years and over",Females,Number,3225.25,3000.0,150.0,2525.25,3675.0,10625.0,1250.0,7250.0,2575.0,8300.0,7000.25,400.0,9175.25
2015/2016,Yukon,"Total, 12 years and over",Males,Number,3925.25,3875.0,150.0,3350.25,2650.0,11050.0,1050.0,7025.0,1950.0,7649.75,7800.25,575.0,9775.25
